"Ano","Código da Grande Região","Nome da Grande Região","Código da Unidade da Federação","Sigla da Unidade da Federação","Nome da Unidade da Federação","Código do Município","Nome do Município","Região Metropolitana","Código da Mesorregião","Nome da Mesorregião","Código da Microrregião","Nome da Microrregião","Código da Região Geográfica Imediata","Nome da Região Geográfica Imediata","Município da Região Geográfica Imediata","Código da Região Geográfica Intermediária","Nome da Região Geográfica Intermediária","Município da Região Geográfica Intermediária","Código Concentração Urbana","Nome Concentração Urbana","Tipo Concentração Urbana","Código Arranjo Populacional","Nome Arranjo Populacional","Hierarquia Urbana","Hierarquia Urbana (principais categorias)","Código da Região Rural","Nome da Região Rural","Região rural (segundo classificação do núcleo)","Amazônia Legal","Semiárido","Cidade-Região de São Paulo","Valor adicionado bruto da Agropecuária a preços correntes(R$ 1.000)","Valor adicionado bruto da Indústria a preços correntes (R$ 1.000)","Valor adicionado bruto dos Serviços a preços correntes - exceto Administração em defesa educação e saúde públicas e seguridade social (R$ 1.000)","Valor adicionado bruto da Administração, defesa, educação e saúde públicas e seguridade social a preços correntes (R$ 1.000)","Valor adicionado bruto total a preços correntes (R$ 1.000)","Impostos, líquidos de subsídios, sobre produtos a preços correntes (R$ 1.000)","Produto Interno Bruto a preços correntes (R$ 1.000)","Produto Interno Bruto per capita a preços correntes (R$ 1,00)","Atividade com maior valor adicionado bruto","Atividade com segundo maior valor adicionado bruto","Atividade com terceiro maior valor adicionado bruto"


"2006","3","Sudeste","31","MG","Minas Gerais","3106705","Betim","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  7,052 ","  4,882,413 ","  4,396,717 ","  788,690 ","  10,074,872 ","  3,751,417 ","  13,826,288 ","  33,970.97 "
"2007","3","Sudeste","31","MG","Minas Gerais","3106705","Betim","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  9,090 ","  6,709,828 ","  5,173,160 ","  895,830 ","  12,787,909 ","  4,411,572 ","  17,199,481 ","  41,434.75 "
"2008","3","Sudeste","31","MG","Minas Gerais","3106705","Betim","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  9,750 ","  7,217,846 ","  5,797,524 ","  1,033,134 ","  14,058,254 ","  5,822,791 ","  19,881,046 ","  46,288.06 "
"2009","3","Sudeste","31","MG","Minas Gerais","3106705","Betim","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  10,142 ","  8,817,668 ","  6,097,984 ","  1,144,260 ","  16,070,054 ","  4,577,784 ","  20,647,838 ","  46,741.21 "
"2010","3","Sudeste","31","MG","Minas Gerais","3106705","Betim","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  10,123 ","  9,570,228 ","  6,767,701 ","  1,191,178 ","  17,539,230 ","  5,845,684 ","  23,384,913 ","  61,939.08 ","Indústrias de transformação","Demais serviços","Comércio e reparação de veículos automotores e motocicletas"
"2011","3","Sudeste","31","MG","Minas Gerais","3106705","Betim","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  12,156 ","  7,094,020 ","  7,131,445 ","  1,324,430 ","  15,562,052 ","  6,273,714 ","  21,835,766 ","  56,927.57 ","Indústrias de transformação","Demais serviços","Comércio e reparação de veículos automotores e motocicletas"
"2012","3","Sudeste","31","MG","Minas Gerais","3106705","Betim","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  12,792 ","  5,907,889 ","  7,847,101 ","  1,461,926 ","  15,229,708 ","  6,422,302 ","  21,652,010 ","  55,678.87 ","Demais serviços","Indústrias de transformação","Comércio e reparação de veículos automotores e motocicletas"
"2013","3","Sudeste","31","MG","Minas Gerais","3106705","Betim","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  14,640 ","  5,886,011 ","  8,457,884 ","  1,636,491 ","  15,995,026 ","  6,011,664 ","  22,006,690 ","  54,140.46 ","Demais serviços","Indústrias de transformação","Comércio e reparação de veículos automotores e motocicletas"
"2014","3","Sudeste","31","MG","Minas Gerais","3106705","Betim","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  15,275 ","  5,773,430 ","  8,792,595 ","  1,755,748 ","  16,337,048 ","  5,964,962 ","  22,302,009 ","  54,130.70 ","Demais serviços","Indústrias de transformação","Comércio e reparação de veículos automotores e motocicletas"
"2015","3","Sudeste","31","MG","Minas Gerais","3106705","Betim","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  14,296 ","  9,385,436 ","  8,356,930 ","  1,866,086 ","  19,622,747 ","  4,281,726 ","  23,904,474 ","  57,282.70 ","Indústrias de transformação","Demais serviços","Comércio e reparação de veículos automotores e motocicletas"
