"Ano","Código da Grande Região","Nome da Grande Região","Código da Unidade da Federação","Sigla da Unidade da Federação","Nome da Unidade da Federação","Código do Município","Nome do Município","Região Metropolitana","Código da Mesorregião","Nome da Mesorregião","Código da Microrregião","Nome da Microrregião","Código da Região Geográfica Imediata","Nome da Região Geográfica Imediata","Município da Região Geográfica Imediata","Código da Região Geográfica Intermediária","Nome da Região Geográfica Intermediária","Município da Região Geográfica Intermediária","Código Concentração Urbana","Nome Concentração Urbana","Tipo Concentração Urbana","Código Arranjo Populacional","Nome Arranjo Populacional","Hierarquia Urbana","Hierarquia Urbana (principais categorias)","Código da Região Rural","Nome da Região Rural","Região rural (segundo classificação do núcleo)","Amazônia Legal","Semiárido","Cidade-Região de São Paulo","Valor adicionado bruto da Agropecuária a preços correntes(R$ 1.000)","Valor adicionado bruto da Indústria a preços correntes (R$ 1.000)","Valor adicionado bruto dos Serviços a preços correntes - exceto Administração em defesa educação e saúde públicas e seguridade social (R$ 1.000)","Valor adicionado bruto da Administração, defesa, educação e saúde públicas e seguridade social a preços correntes (R$ 1.000)","Valor adicionado bruto total a preços correntes (R$ 1.000)","Impostos, líquidos de subsídios, sobre produtos a preços correntes (R$ 1.000)","Produto Interno Bruto a preços correntes (R$ 1.000)","Produto Interno Bruto per capita a preços correntes (R$ 1,00)","Atividade com maior valor adicionado bruto","Atividade com segundo maior valor adicionado bruto","Atividade com terceiro maior valor adicionado bruto"


"2005","3","Sudeste","31","MG","Minas Gerais","3136652","Juatuba","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  2,171 ","  179,983 ","  100,877 ","  33,509 ","  316,540 ","  126,558 ","  443,097 ","  21,372.64 "
"2006","3","Sudeste","31","MG","Minas Gerais","3136652","Juatuba","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  2,068 ","  184,740 ","  112,972 ","  38,888 ","  338,667 ","  129,899 ","  468,567 ","  21,780.62 "
"2007","3","Sudeste","31","MG","Minas Gerais","3136652","Juatuba","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  2,286 ","  245,359 ","  134,677 ","  42,367 ","  424,688 ","  149,155 ","  573,844 ","  29,385.69 "
"2008","3","Sudeste","31","MG","Minas Gerais","3136652","Juatuba","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  2,505 ","  241,957 ","  138,033 ","  47,739 ","  430,234 ","  143,703 ","  573,937 ","  27,905.72 "
"2009","3","Sudeste","31","MG","Minas Gerais","3136652","Juatuba","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  2,448 ","  307,462 ","  165,974 ","  51,329 ","  527,213 ","  148,543 ","  675,756 ","  32,212.59 "
"2010","3","Sudeste","31","MG","Minas Gerais","3136652","Juatuba","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  2,916 ","  377,188 ","  190,075 ","  62,086 ","  632,265 ","  174,375 ","  806,639 ","  36,300.76 ","Indústrias de transformação","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social"
"2011","3","Sudeste","31","MG","Minas Gerais","3136652","Juatuba","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  1,948 ","  363,149 ","  196,300 ","  71,936 ","  633,333 ","  179,627 ","  812,960 ","  35,893.86 ","Indústrias de transformação","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social"
"2012","3","Sudeste","31","MG","Minas Gerais","3136652","Juatuba","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  2,047 ","  312,928 ","  212,686 ","  83,803 ","  611,464 ","  199,198 ","  810,662 ","  35,124.01 ","Indústrias de transformação","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social"
"2013","3","Sudeste","31","MG","Minas Gerais","3136652","Juatuba","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  2,298 ","  355,986 ","  244,943 ","  94,994 ","  698,222 ","  204,024 ","  902,246 ","  37,198.33 ","Indústrias de transformação","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social"
"2014","3","Sudeste","31","MG","Minas Gerais","3136652","Juatuba","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  2,675 ","  365,523 ","  285,584 ","  102,529 ","  756,310 ","  262,219 ","  1,018,529 ","  41,299.54 ","Indústrias de transformação","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social"
"2015","3","Sudeste","31","MG","Minas Gerais","3136652","Juatuba","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  2,740 ","  436,531 ","  336,477 ","  112,072 ","  887,820 ","  242,430 ","  1,130,250 ","  45,053.20 ","Indústrias de transformação","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social"
"2016","3","Sudeste","31","MG","Minas Gerais","3136652","Juatuba","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  3,732 ","  403,218 ","  327,595 ","  117,647 ","  852,191 ","  235,212 ","  1,087,403 ","  42,659.99 ","Indústrias de transformação","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social"
"2017","3","Sudeste","31","MG","Minas Gerais","3136652","Juatuba","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  2,188 ","  516,644 ","  314,677 ","  131,848 ","  965,357 ","  236,960 ","  1,202,317 ","  46,468.17 ","Indústrias de transformação","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social"
"2018","3","Sudeste","31","MG","Minas Gerais","3136652","Juatuba","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  2,056 ","  474,099 ","  366,435 ","  144,557 ","  987,148 ","  218,086 ","  1,205,234 ","  45,508.02 ","Indústrias de transformação","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social"
"2019","3","Sudeste","31","MG","Minas Gerais","3136652","Juatuba","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  2,543 ","  551,402 ","  397,063 ","  150,920 ","  1,101,928 ","  248,694 ","  1,350,623 ","  50,123.31 ","Indústrias de transformação","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social"

"2002","3","Sudeste","31","MG","Minas Gerais","3137403","Lagoa Dourada","","3111","Campo das Vertentes","31058","São João Del Rei","310039","São João del Rei","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  7,854 ","  1,877 ","  11,277 ","  11,483 ","  32,491 ","  2,021 ","  34,512 ","  2,905.31 "
"2003","3","Sudeste","31","MG","Minas Gerais","3137403","Lagoa Dourada","","3111","Campo das Vertentes","31058","São João Del Rei","310039","São João del Rei","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  11,986 ","  2,275 ","  13,562 ","  12,311 ","  40,135 ","  2,448 ","  42,583 ","  3,538.83 "
"2004","3","Sudeste","31","MG","Minas Gerais","3137403","Lagoa Dourada","","3111","Campo das Vertentes","31058","São João Del Rei","310039","São João del Rei","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  14,034 ","  3,424 ","  14,784 ","  13,342 ","  45,585 ","  2,580 ","  48,165 ","  3,951.84 "
"2005","3","Sudeste","31","MG","Minas Gerais","3137403","Lagoa Dourada","","3111","Campo das Vertentes","31058","São João Del Rei","310039","São João del Rei","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  13,710 ","  4,002 ","  16,922 ","  15,516 ","  50,150 ","  3,429 ","  53,579 ","  4,340.87 "
"2006","3","Sudeste","31","MG","Minas Gerais","3137403","Lagoa Dourada","","3111","Campo das Vertentes","31058","São João Del Rei","310039","São João del Rei","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  11,935 ","  4,001 ","  18,992 ","  17,551 ","  52,479 ","  3,555 ","  56,035 ","  4,483.85 "
"2007","3","Sudeste","31","MG","Minas Gerais","3137403","Lagoa Dourada","","3111","Campo das Vertentes","31058","São João Del Rei","310039","São João del Rei","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  13,833 ","  5,232 ","  20,523 ","  18,294 ","  57,882 ","  3,511 ","  61,392 ","  5,206.27 "
"2008","3","Sudeste","31","MG","Minas Gerais","3137403","Lagoa Dourada","","3111","Campo das Vertentes","31058","São João Del Rei","310039","São João del Rei","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  16,659 ","  5,431 ","  23,239 ","  22,672 ","  68,002 ","  3,777 ","  71,779 ","  5,882.57 "
"2009","3","Sudeste","31","MG","Minas Gerais","3137403","Lagoa Dourada","","3111","Campo das Vertentes","31058","São João Del Rei","310039","São João del Rei","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  17,368 ","  7,425 ","  25,267 ","  24,355 ","  74,414 ","  3,743 ","  78,157 ","  6,372.40 "
"2010","3","Sudeste","31","MG","Minas Gerais","3137403","Lagoa Dourada","","3111","Campo das Vertentes","31058","São João Del Rei","310039","São João del Rei","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  21,639 ","  8,837 ","  28,572 ","  27,021 ","  86,069 ","  4,724 ","  90,793 ","  7,401.40 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Agricultura, inclusive apoio à agricultura e a pós colheita"
"2011","3","Sudeste","31","MG","Minas Gerais","3137403","Lagoa Dourada","","3111","Campo das Vertentes","31058","São João Del Rei","310039","São João del Rei","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  27,501 ","  7,175 ","  31,306 ","  30,933 ","  96,915 ","  4,542 ","  101,457 ","  8,237.83 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Agricultura, inclusive apoio à agricultura e a pós colheita"
"2012","3","Sudeste","31","MG","Minas Gerais","3137403","Lagoa Dourada","","3111","Campo das Vertentes","31058","São João Del Rei","310039","São João del Rei","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  30,705 ","  7,391 ","  37,133 ","  34,885 ","  110,115 ","  4,867 ","  114,982 ","  9,292.96 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Agricultura, inclusive apoio à agricultura e a pós colheita"
"2013","3","Sudeste","31","MG","Minas Gerais","3137403","Lagoa Dourada","","3111","Campo das Vertentes","31058","São João Del Rei","310039","São João del Rei","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  35,922 ","  6,759 ","  44,336 ","  38,636 ","  125,653 ","  5,148 ","  130,800 ","  10,212.39 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Agricultura, inclusive apoio à agricultura e a pós colheita"
"2014","3","Sudeste","31","MG","Minas Gerais","3137403","Lagoa Dourada","","3111","Campo das Vertentes","31058","São João Del Rei","310039","São João del Rei","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  39,774 ","  7,608 ","  42,031 ","  42,097 ","  131,511 ","  4,476 ","  135,987 ","  10,562.90 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Agricultura, inclusive apoio à agricultura e a pós colheita"
"2015","3","Sudeste","31","MG","Minas Gerais","3137403","Lagoa Dourada","","3111","Campo das Vertentes","31058","São João Del Rei","310039","São João del Rei","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  39,739 ","  7,997 ","  50,722 ","  46,577 ","  145,035 ","  6,603 ","  151,638 ","  11,720.35 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Agricultura, inclusive apoio à agricultura e a pós colheita"
"2016","3","Sudeste","31","MG","Minas Gerais","3137403","Lagoa Dourada","","3111","Campo das Vertentes","31058","São João Del Rei","310039","São João del Rei","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  96,635 ","  9,644 ","  65,924 ","  49,093 ","  221,297 ","  10,393 ","  231,690 ","  17,823.65 ","Agricultura, inclusive apoio à agricultura e a pós colheita","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social"
"2017","3","Sudeste","31","MG","Minas Gerais","3137403","Lagoa Dourada","","3111","Campo das Vertentes","31058","São João Del Rei","310039","São João del Rei","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  55,252 ","  8,546 ","  72,152 ","  52,791 ","  188,741 ","  13,314 ","  202,055 ","  15,476.01 ","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social","Agricultura, inclusive apoio à agricultura e a pós colheita"
"2018","3","Sudeste","31","MG","Minas Gerais","3137403","Lagoa Dourada","","3111","Campo das Vertentes","31058","São João Del Rei","310039","São João del Rei","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  60,234 ","  8,670 ","  84,675 ","  55,008 ","  208,588 ","  14,070 ","  222,658 ","  17,189.65 ","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social","Agricultura, inclusive apoio à agricultura e a pós colheita"
"2019","3","Sudeste","31","MG","Minas Gerais","3137403","Lagoa Dourada","","3111","Campo das Vertentes","31058","São João Del Rei","310039","São João del Rei","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  72,417 ","  11,372 ","  110,563 ","  57,638 ","  251,989 ","  19,334 ","  271,323 ","  20,856.56 ","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social","Agricultura, inclusive apoio à agricultura e a pós colheita"

"2002","3","Sudeste","31","MG","Minas Gerais","3139706","Maravilhas","","3107","Metropolitana de Belo Horizonte","31027","Sete Lagoas","310068","Pará de Minas","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  3,029 ","  5,442 ","  8,396 ","  6,291 ","  23,158 ","  2,226 ","  25,385 ","  3,924.05 "
"2003","3","Sudeste","31","MG","Minas Gerais","3139706","Maravilhas","","3107","Metropolitana de Belo Horizonte","31027","Sete Lagoas","310068","Pará de Minas","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  4,760 ","  6,666 ","  9,829 ","  6,569 ","  27,824 ","  2,703 ","  30,527 ","  4,651.41 "
"2004","3","Sudeste","31","MG","Minas Gerais","3139706","Maravilhas","","3107","Metropolitana de Belo Horizonte","31027","Sete Lagoas","310068","Pará de Minas","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  6,571 ","  12,787 ","  12,125 ","  6,957 ","  38,440 ","  5,861 ","  44,301 ","  6,655.83 "
"2005","3","Sudeste","31","MG","Minas Gerais","3139706","Maravilhas","","3107","Metropolitana de Belo Horizonte","31027","Sete Lagoas","310068","Pará de Minas","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  6,446 ","  11,408 ","  13,902 ","  8,945 ","  40,702 ","  5,771 ","  46,472 ","  6,885.78 "
"2006","3","Sudeste","31","MG","Minas Gerais","3139706","Maravilhas","","3107","Metropolitana de Belo Horizonte","31027","Sete Lagoas","310068","Pará de Minas","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  6,555 ","  18,944 ","  17,633 ","  9,844 ","  52,977 ","  5,446 ","  58,423 ","  8,537.68 "
"2007","3","Sudeste","31","MG","Minas Gerais","3139706","Maravilhas","","3107","Metropolitana de Belo Horizonte","31027","Sete Lagoas","310068","Pará de Minas","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  7,965 ","  20,157 ","  17,922 ","  11,960 ","  58,003 ","  5,702 ","  63,704 ","  9,313.50 "
"2008","3","Sudeste","31","MG","Minas Gerais","3139706","Maravilhas","","3107","Metropolitana de Belo Horizonte","31027","Sete Lagoas","310068","Pará de Minas","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  8,233 ","  26,373 ","  20,528 ","  13,476 ","  68,611 ","  9,052 ","  77,663 ","  10,881.70 "
"2009","3","Sudeste","31","MG","Minas Gerais","3139706","Maravilhas","","3107","Metropolitana de Belo Horizonte","31027","Sete Lagoas","310068","Pará de Minas","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  7,968 ","  15,039 ","  20,664 ","  14,820 ","  58,491 ","  5,441 ","  63,932 ","  8,849.98 "
"2010","3","Sudeste","31","MG","Minas Gerais","3139706","Maravilhas","","3107","Metropolitana de Belo Horizonte","31027","Sete Lagoas","310068","Pará de Minas","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  8,709 ","  17,064 ","  24,552 ","  16,936 ","  67,260 ","  8,155 ","  75,415 ","  10,538.72 ","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social","Indústrias de transformação"
"2011","3","Sudeste","31","MG","Minas Gerais","3139706","Maravilhas","","3107","Metropolitana de Belo Horizonte","31027","Sete Lagoas","310068","Pará de Minas","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  10,350 ","  18,699 ","  25,248 ","  19,561 ","  73,857 ","  8,379 ","  82,236 ","  11,366.42 ","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social","Indústrias de transformação"
"2012","3","Sudeste","31","MG","Minas Gerais","3139706","Maravilhas","","3107","Metropolitana de Belo Horizonte","31027","Sete Lagoas","310068","Pará de Minas","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  10,093 ","  18,271 ","  28,918 ","  22,163 ","  79,445 ","  7,692 ","  87,137 ","  11,930.09 ","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social","Indústrias de transformação"

"2002","3","Sudeste","31","MG","Minas Gerais","3139706","Maravilhas","","3107","Metropolitana de Belo Horizonte","31027","Sete Lagoas","310068","Pará de Minas","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  3,029 ","  5,442 ","  8,396 ","  6,291 ","  23,158 ","  2,226 ","  25,385 ","  3,924.05 "
"2003","3","Sudeste","31","MG","Minas Gerais","3139706","Maravilhas","","3107","Metropolitana de Belo Horizonte","31027","Sete Lagoas","310068","Pará de Minas","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  4,760 ","  6,666 ","  9,829 ","  6,569 ","  27,824 ","  2,703 ","  30,527 ","  4,651.41 "
"2004","3","Sudeste","31","MG","Minas Gerais","3139706","Maravilhas","","3107","Metropolitana de Belo Horizonte","31027","Sete Lagoas","310068","Pará de Minas","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  6,571 ","  12,787 ","  12,125 ","  6,957 ","  38,440 ","  5,861 ","  44,301 ","  6,655.83 "
"2005","3","Sudeste","31","MG","Minas Gerais","3139706","Maravilhas","","3107","Metropolitana de Belo Horizonte","31027","Sete Lagoas","310068","Pará de Minas","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  6,446 ","  11,408 ","  13,902 ","  8,945 ","  40,702 ","  5,771 ","  46,472 ","  6,885.78 "
"2006","3","Sudeste","31","MG","Minas Gerais","3139706","Maravilhas","","3107","Metropolitana de Belo Horizonte","31027","Sete Lagoas","310068","Pará de Minas","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  6,555 ","  18,944 ","  17,633 ","  9,844 ","  52,977 ","  5,446 ","  58,423 ","  8,537.68 "
"2007","3","Sudeste","31","MG","Minas Gerais","3139706","Maravilhas","","3107","Metropolitana de Belo Horizonte","31027","Sete Lagoas","310068","Pará de Minas","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  7,965 ","  20,157 ","  17,922 ","  11,960 ","  58,003 ","  5,702 ","  63,704 ","  9,313.50 "
"2008","3","Sudeste","31","MG","Minas Gerais","3139706","Maravilhas","","3107","Metropolitana de Belo Horizonte","31027","Sete Lagoas","310068","Pará de Minas","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  8,233 ","  26,373 ","  20,528 ","  13,476 ","  68,611 ","  9,052 ","  77,663 ","  10,881.70 "
