"Ano","Código da Grande Região","Nome da Grande Região","Código da Unidade da Federação","Sigla da Unidade da Federação","Nome da Unidade da Federação","Código do Município","Nome do Município","Região Metropolitana","Código da Mesorregião","Nome da Mesorregião","Código da Microrregião","Nome da Microrregião","Código da Região Geográfica Imediata","Nome da Região Geográfica Imediata","Município da Região Geográfica Imediata","Código da Região Geográfica Intermediária","Nome da Região Geográfica Intermediária","Município da Região Geográfica Intermediária","Código Concentração Urbana","Nome Concentração Urbana","Tipo Concentração Urbana","Código Arranjo Populacional","Nome Arranjo Populacional","Hierarquia Urbana","Hierarquia Urbana (principais categorias)","Código da Região Rural","Nome da Região Rural","Região rural (segundo classificação do núcleo)","Amazônia Legal","Semiárido","Cidade-Região de São Paulo","Valor adicionado bruto da Agropecuária a preços correntes(R$ 1.000)","Valor adicionado bruto da Indústria a preços correntes (R$ 1.000)","Valor adicionado bruto dos Serviços a preços correntes - exceto Administração em defesa educação e saúde públicas e seguridade social (R$ 1.000)","Valor adicionado bruto da Administração, defesa, educação e saúde públicas e seguridade social a preços correntes (R$ 1.000)","Valor adicionado bruto total a preços correntes (R$ 1.000)","Impostos, líquidos de subsídios, sobre produtos a preços correntes (R$ 1.000)","Produto Interno Bruto a preços correntes (R$ 1.000)","Produto Interno Bruto per capita a preços correntes (R$ 1,00)","Atividade com maior valor adicionado bruto","Atividade com segundo maior valor adicionado bruto","Atividade com terceiro maior valor adicionado bruto"
"2019","3","Sudeste","31","MG","Minas Gerais","3139706","Maravilhas","","3107","Metropolitana de Belo Horizonte","31027","Sete Lagoas","310068","Pará de Minas","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  12,252 ","  45,646 ","  53,713 ","  34,788 ","  146,399 ","  17,593 ","  163,993 ","  20,560.75 ","Demais serviços","Indústrias de transformação","Administração, defesa, educação e saúde públicas e seguridade social"
"2019","3","Sudeste","31","MG","Minas Gerais","3140159","Mário Campos","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  10,688 ","  12,968 ","  72,092 ","  63,769 ","  159,517 ","  10,880 ","  170,397 ","  11,053.24 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Comércio e reparação de veículos automotores e motocicletas"
"2019","3","Sudeste","31","MG","Minas Gerais","3140704","Mateus Leme","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","","","","","","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  17,239 ","  186,986 ","  271,161 ","  138,383 ","  613,770 ","  76,707 ","  690,476 ","  22,211.81 ","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social","Indústrias de transformação"
"2019","3","Sudeste","31","MG","Minas Gerais","3142304","Moeda","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  2,377 ","  4,773 ","  29,847 ","  23,789 ","  60,785 ","  4,779 ","  65,564 ","  13,328.69 ","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social","Comércio e reparação de veículos automotores e motocicletas"
"2019","3","Sudeste","31","MG","Minas Gerais","3145901","Ouro Branco","","3107","Metropolitana de Belo Horizonte","31034","Conselheiro Lafaiete","310038","Conselheiro Lafaiete","do Entorno","3107","Barbacena","do Entorno","3118304","Conselheiro Lafaiete/MG","Média concentração urbana","3118304","Conselheiro Lafaiete/MG","Centro Local","Centro Local","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  5,337 ","  2,169,067 ","  994,009 ","  186,023 ","  3,354,437 ","  828,204 ","  4,182,641 ","  105,889.65 ","Indústrias de transformação","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social"
"2019","3","Sudeste","31","MG","Minas Gerais","3146107","Ouro Preto","","3107","Metropolitana de Belo Horizonte","31033","Ouro Preto","310003","Santa Bárbara - Ouro Preto","Polo","3101","Belo Horizonte","do Entorno","","","","","","Centro Local","Centro Local","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  20,012 ","  1,230,840 ","  1,242,294 ","  399,698 ","  2,892,845 ","  248,829 ","  3,141,674 ","  42,294.45 ","Indústrias extrativas","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social"
"2019","3","Sudeste","31","MG","Minas Gerais","3146909","Papagaios","","3107","Metropolitana de Belo Horizonte","31027","Sete Lagoas","310068","Pará de Minas","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  19,785 ","  53,085 ","  105,886 ","  65,733 ","  244,488 ","  22,456 ","  266,944 ","  17,031.04 ","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social","Comércio e reparação de veículos automotores e motocicletas"
"2019","3","Sudeste","31","MG","Minas Gerais","3147105","Pará de Minas","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31029","Pará de Minas","310068","Pará de Minas","Polo","3113","Divinópolis","do Entorno","","","","","","Centro de Zona A","Centro de Zona","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  92,811 ","  787,977 ","  1,419,527 ","  400,212 ","  2,700,527 ","  421,124 ","  3,121,650 ","  33,220.00 ","Demais serviços","Indústrias de transformação","Comércio e reparação de veículos automotores e motocicletas"
"2019","3","Sudeste","31","MG","Minas Gerais","3147402","Paraopeba","","3107","Metropolitana de Belo Horizonte","31027","Sete Lagoas","310002","Sete Lagoas","do Entorno","3101","Belo Horizonte","do Entorno","","","","3147402","Paraopeba/MG","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  31,846 ","  146,204 ","  469,805 ","  108,944 ","  756,798 ","  73,391 ","  830,190 ","  33,830.05 ","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social","Indústrias de transformação"
"2019","3","Sudeste","31","MG","Minas Gerais","3149606","Pequi","","3107","Metropolitana de Belo Horizonte","31027","Sete Lagoas","310068","Pará de Minas","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  14,909 ","  3,132 ","  20,830 ","  21,790 ","  60,661 ","  3,829 ","  64,490 ","  14,636.94 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Pecuária, inclusive apoio à pecuária"
